[2024-07-03 13:39:30.156] [info]  [db] Initialized DB client
[2024-07-03 13:39:30.163] [info]  [plugin] Loading 
[2024-07-03 13:39:30.771] [info]  [project] Fetching org_0edf27db-3e85-4c23-a98d-9dfb724bd570
[2024-07-03 13:39:30.936] [info]  [project] Redirecting to last visited project proj_52188c400adc4541b0158eb6bab5d48b
[2024-07-03 13:39:30.945] [info]  [FileSystemDriver] Initialized in "/home/leshy/.config/Insomnia/version-control"
[2024-07-03 13:39:32.765] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 13:39:32.765] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 13:39:32.766] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.e8bc8787-e482-4962-b1a5-03d44f0a3dfa.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 13:39:32.814] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 13:39:32.814] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 13:39:32.814] [info]  [FileSystemDriver] Writing to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json.a423e9f8-3a52-4ea5-856c-0cdb22a62e9e.tmp then renaming to /home/leshy/.config/Insomnia/version-control/projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
[2024-07-03 13:40:34.032] [info]  [sync] Activated project prj_da89e9e2178045339764e5a3ff44bac5
[2024-07-03 13:40:34.033] [info]  [FileSystemDriver] Writing to /projects/prj_da89e9e2178045339764e5a3ff44bac5/meta.json
